eventname	origintime	hyplon	hyplat	hypdepth (km)	mw	network	station	stlon	stlat	stelev	hypdist	duration_e	duration_n	duration_horiz	pga	pgv	tPGV_origin	tPGV_parriv	tPGA_origin	tPGA_parriv	polygon	ask14	sk13	z16	ask14_dE	ask14_dE_std	ask14_dS	ask14_dS_std	ask14_dPol	ask14_dPol_std	ask14_dP	sk13_dE	sk13_dE_std	sk13_dS	sk13_dS_std	sk13_dPol	sk13_dPol_std	sk13_dP	z16_dE	z16_dE_std	z16_dS	z16_dS_std	z16_dPol	z16_dPol_std	z16_dP
157	2020/5/2T16:44:31.3	25.6375	34.4577	5	4.8	HP	AMPL	21.2135	38.9224	260	633.7126133	60	60	60	0.000236694	7.23E-06	-15302216.99	-15302226.19	-15302241.61	-15302250.81	1	1.45924703	1.287114371	0.519794018	-0.245896595	0.11412002	0.594401418	0.20106629	-0.121445062	0.10801017	1.248135417	-0.194919121	0.110326472	0.355078538	0.19215071	-0.178695094	0.099378435	1.221048509	0.940341723	0.12013804	0.664873954	0.194702006	-0.13043653	0.110764729	1.241634361
184	2020/5/16T2:30:28.1	25.719	34.3469	8	4	HP	AMPL	21.2135	38.9224	260	648.0642641	60	60	60	4.11E-05	1.28E-06	-14143889.27	-14143898.47	-14143888.44	-14143897.64	1	1.563549831	1.258076721	-0.656693579	-0.030194475	0.132544136	0.594401418	0.20106629	-0.121445062	0.10801017	1.136736098	-0.03559069	0.128296532	0.355078538	0.19215071	-0.178695094	0.099378435	1.032682428	-0.033928878	0.137582008	0.664873954	0.194702006	-0.13043653	0.110764729	1.039417366
190	2020/5/18T4:18:23.7	25.6998	34.4962	14	4.6	HP	AMPL	21.2135	38.9224	260	633.9584388	60	60	60	4.84E-05	3.32E-06	-13964590.19	-13964599.39	-13964608.29	-13964617.49	1	0.306009914	0.106520828	-0.930828075	-0.515807616	0.110764242	0.594401418	0.20106629	-0.121445062	0.10801017	0.364809322	-0.461402119	0.107071669	0.355078538	0.19215071	-0.178695094	0.099378435	0.306937964	0.400549135	0.117004469	0.664873954	0.194702006	-0.13043653	0.110764729	0.330804857
193	2020/5/18T11:48:9.0	25.6073	34.3121	15	4.5	HP	AMPL	21.2135	38.9224	260	645.1480974	60	60	60	3.51E-05	1.44E-06	-13937597.94	-13937607.14	-13937603.38	-13937612.58	1	0.301370948	0.068434557	-1.101729877	-0.655706001	0.140087429	0.594401418	0.20106629	-0.121445062	0.10801017	0.500068741	-0.592341311	0.135626449	0.355078538	0.19215071	-0.178695094	0.099378435	0.399790886	0.119249391	0.14483218	0.664873954	0.194702006	-0.13043653	0.110764729	0.441202799
196	2020/5/18T23:22:37.2	25.5762	34.3066	7	5.2	HP	AMPL	21.2135	38.9224	260	643.8132372	60	60	60	8.27E-05	8.77E-06	-13895934.76	-13895943.96	-13895950.44	-13895959.64	1	-0.286238988	-0.497252285	-0.755691044	-0.826509415	0.104603435	0.594401418	0.20106629	-0.121445062	0.10801017	0.083262219	-0.81379422	0.101050847	0.355078538	0.19215071	-0.178695094	0.099378435	0.055556952	0.823476381	0.11129827	0.664873954	0.194702006	-0.13043653	0.110764729	0.083014642
316	2020/6/19T7:43:22.0	25.5606	34.3295	8	4.6	HP	AMPL	21.2135	38.9224	260	640.9267222	60	60	60	5.58E-05	2.37E-06	-11187501.8	-11187511	-11187506.88	-11187516.08	1	0.511097799	0.299177231	-0.733817188	-0.098974396	0.138576471	0.594401418	0.20106629	-0.121445062	0.10801017	0.153063987	-0.085283974	0.13413432	0.355078538	0.19215071	-0.178695094	0.099378435	0.123476222	0.783643284	0.143382198	0.664873954	0.194702006	-0.13043653	0.110764729	0.144721595
436	2020/9/18T16:28:18.6	25.2933	34.9338	52	5.3	HP	AMPL	21.2135	38.9224	260	574.9988539	60	60	60	0.000236442	1.48E-05	-3293598.41	-3293607.612	-3293614.74	-3293623.942	1	-0.04332645	-0.167417725	-0.350021723	-0.273046508	0.11201441	0.594401418	0.20106629	-0.121445062	0.10801017	-0.227288151	-0.229920928	0.108296396	0.355078538	0.19215071	-0.178695094	0.099378435	-0.19848178	1.498907075	0.118139703	0.664873954	0.194702006	-0.13043653	0.110764729	-0.186746731
476	2020/10/12T0:30:41.2	26.293	35.6314	21	5.1	HP	AMPL	21.2135	38.9224	260	580.1682511	60	60	60	6.91E-05	6.41E-06	-1277471.38	-1277480.582	-1277466.83	-1277476.032	1	-0.876152097	-0.954276743	-1.37257463	-0.868885145	0.104558228	0.594401418	0.20106629	-0.121445062	0.10801017	-0.46427516	-0.718689592	0.101010256	0.355078538	0.19215071	-0.178695094	0.099378435	-0.496572134	0.762958612	0.111240824	0.664873954	0.194702006	-0.13043653	0.110764729	-0.473351175
481	2020/10/12T4:11:27.9	26.2926	35.6319	8	5.2	HP	AMPL	21.2135	38.9224	260	579.773835	60	60	60	0.000182192	1.06E-05	-1264223.25	-1264232.452	-1264245.71	-1264254.912	1	-0.08503424	-0.189413799	-0.486995877	-0.610439738	0.103953817	0.594401418	0.20106629	-0.121445062	0.10801017	0.06839729	-0.500548741	0.100412146	0.355078538	0.19215071	-0.178695094	0.099378435	0.050149959	1.103181701	0.110680821	0.664873954	0.194702006	-0.13043653	0.110764729	0.072004489
71	2020/2/7T3:11:48.1	26.5741	35.1654	5	4.5	HP	AMT	21.7089	37.5324	482	509.5431408	60	60	60	9.46E-05	9.42E-06	-22695022.99	-22695032.19	-22695017.68	-22695026.88	1	0.199615565	0.631057142	-1.234612636	0.182106898	0.234443006	0.02222386	0.173828639	-0.121445062	0.10801017	0.132678017	0.253891132	0.227111951	0.311828636	0.165433102	-0.178695094	0.099378435	0.159430929	0.967705972	0.241008366	-0.04351318	0.168321075	-0.13043653	0.110764729	0.168250592
